Info about perfect gas:
 R  = 8.31696
 T  = 500
 Kg = 0.286733
 M  = 28.96
 p  = 1
 p0 = 4
 K  = 1.402

Result:
p0 = 3.000e+00	w = 1.645e+01
p0 = 3.100e+00	w = 1.666e+01
p0 = 3.200e+00	w = 1.685e+01
p0 = 3.300e+00	w = 1.704e+01
p0 = 3.400e+00	w = 1.722e+01
p0 = 3.500e+00	w = 1.739e+01
p0 = 3.600e+00	w = 1.755e+01
p0 = 3.700e+00	w = 1.770e+01
p0 = 3.800e+00	w = 1.785e+01
p0 = 3.900e+00	w = 1.799e+01
p0 = 4.000e+00	w = 1.813e+01
p0 = 4.100e+00	w = 1.826e+01
p0 = 4.200e+00	w = 1.838e+01
p0 = 4.300e+00	w = 1.850e+01
p0 = 4.400e+00	w = 1.862e+01
p0 = 4.500e+00	w = 1.873e+01
p0 = 4.600e+00	w = 1.884e+01
p0 = 4.700e+00	w = 1.895e+01
p0 = 4.800e+00	w = 1.905e+01
p0 = 4.900e+00	w = 1.915e+01
p0 = 5.000e+00	w = 1.924e+01
